里程,替代航线平均价格,替代航线平均运量,替代航线平均里程,价格,运量
487,1367.800049,87,499.0,872.7999880000001,23
3428,1849.8999019999999,524,3574.0,2051.5,28
1741,1255.1000980000001,427,1808.6666260000002,1317.900024,30
651,808.200012,28,660.0,459.0,123
1099,1302.0,678,1163.0,1468.5,17
1671,1906.199951,753,1689.0,1480.199951,19
1326,1287.1599609999998,1565,1420.199951,1010.0,320
1022,1072.550049,689,1088.5,1099.900024,23
620,732.099976,161,809.0,736.900024,75
2228,1647.924927,207,2327.5,1305.199951,16
920,1064.200033,653,983.6666869999999,1019.7000119999999,44
582,954.2999880000001,72,742.0,585.5,60
1987,1981.25,834,2060.5,1809.199951,74
853,1276.949951,127,892.5,1027.5,56
761,1035.5,97,929.0,714.0,27
1024,1346.849976,225,1094.0,1152.599976,101
1326,1337.375,554,1406.0,1085.199951,56
550,1239.3999019999999,43,739.0,773.5,23
1479,1441.674927,1300,1544.0,999.599976,226
1987,2001.075073,753,2060.5,1878.0,76
1716,1609.506552,248,1781.8063960000002,1371.0,3011
581,1040.400024,239,683.0,649.599976,279
744,1238.099976,134,821.0,853.900024,1608
348,1182.1000980000001,819,424.0,474.799988,68
473,786.75,246,583.5,606.900024,351
1343,1234.5199220000002,390,1406.900024,1180.199951,2140
1227,1287.780078,225,1324.800049,1052.800049,1436
1388,1605.400036,523,1468.090942,1188.800049,4619
1860,2175.75,1720,1918.5,2514.199951,7
399,1164.75,209,377.5,671.200012,2015
1982,2147.600098,1553,2049.0,2322.100098,27
990,1414.799927,153,1055.0,975.0,396
509,845.56665,488,607.666687,686.400024,873
1211,1476.300049,1360,1389.0,1192.800049,116
1207,1362.800049,841,1396.0,1205.599976,50
473,831.25,638,516.5,609.700012,114
1427,1459.290927,890,1501.3636470000001,1414.800049,1093
2078,1772.347245,533,2142.368408,1425.900024,660
1260,1681.300049,1015,1384.0,1411.0,17
388,1227.166667,83,185.666672,469.799988,2044
825,1082.600016,413,958.3333130000001,857.0,558
1022,1184.2500810000001,446,1099.166626,831.0,2339
1526,1727.0,727,1613.0,1437.199951,13
930,1127.3500980000001,96,603.0,875.7999880000001,1986
1121,1253.199951,3957,1121.0,860.2999880000001,115
827,1045.740039,423,880.400024,948.0,1346
1661,2152.899902,850,1662.0,1775.5,130
2254,2638.271484,800,2325.428467,1637.800049,72
1540,1575.650024,933,1629.125,1280.5,200
1220,1211.599976,1027,1246.0,1349.400024,413
1271,1371.900024,1034,1278.0,1486.800049,137
1266,1461.5,1517,1301.0,1745.5999760000002,86
3092,2251.5,1314,3162.0,2393.699951,61
1143,1362.642857,450,1238.142822,1047.199951,1116
1906,1776.8884420000002,574,1812.2940670000003,1400.199951,2261
1434,1563.849976,642,1468.5,1369.900024,93
1605,1615.3999019999999,566,1670.0,1482.800049,1166
1586,1585.7166339999999,537,1670.0,1326.300049,295
1177,1630.766602,1991,864.3333130000001,1069.900024,58
1082,1393.266602,707,1135.0,1163.5,1604
1911,2037.9000239999998,1394,1925.0,2023.5999760000002,301
2182,2199.549805,1997,2232.5,1704.4000239999998,49
2344,2601.475098,1541,2400.25,2378.800049,324
594,788.299988,22,757.0,552.0,248
1699,1761.233398,674,1801.3333739999998,1613.5,103
1055,1272.333333,749,1132.0,1270.599976,274
1293,1557.599976,149,1405.0,1281.900024,238
1076,1703.566569,1824,940.0,1070.699951,52
1103,1145.43335,424,1120.666626,924.900024,788
833,1024.900024,570,919.0,805.200012,846
1866,1789.0499670000002,575,1957.75,1445.099976,715
773,989.599976,142,766.0,693.5,105
979,1394.382353,427,1000.058838,860.2999880000001,7838
549,1541.25,138,316.5,675.0,1286
847,1123.566623,251,713.555542,869.2999880000001,2639
1674,1653.549927,1050,1783.125,1385.199951,188
2177,2140.5,1246,2181.0,2167.100098,9
2287,1792.1811519999999,668,2350.1875,1493.300049,441
1770,1731.5440629999998,327,1768.4000239999998,1417.900024,3491
2143,2525.466634,1248,2195.333252,2007.5,2
1046,1459.300049,284,1054.0,980.5,168
388,649.5,113,441.0,550.299988,763
2218,2022.0332030000002,509,2283.5,1519.800049,1715
580,931.599976,390,622.0,682.299988,358
1281,1409.3222660000001,710,1324.555542,1079.300049,806
751,1083.8999019999999,1116,786.0,572.299988,435
977,1205.8,204,1107.0,857.0,1391
